Sector,Indicator,Unit,Country,Year,Variable,Value
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2020,projected_current_policy_min,3.20472764744206
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2025,projected_current_policy_min,5.5869432241561405
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2030,projected_current_policy_min,5.375076461102151
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2015,projected_current_policy_min,2.3271979091364
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2020,projected_current_policy_min,3.27642773730745
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2025,projected_current_policy_min,5.039203692376129
Electricity,Renewable energy generation (index),1990 value normalised to 1,AR,2030,projected_current_policy_min,5.83106267029972
Transport Road,EVs per capita,EVs / 1000 cap,AR,2025,projected_current_policy_min,1.2847568860862901
Transport Road,EVs per capita,EVs / 1000 cap,AR,2030,projected_current_policy_min,6.2850612649525095
Transport Road,EVs per capita,EVs / 1000 cap,AR,2025,projected_current_policy_min,1.2847568860862901
Transport Road,EVs per capita,EVs / 1000 cap,AR,2030,projected_current_policy_min,6.2850612649525095
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2015,projected_current_policy_min,0.78
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2020,projected_current_policy_min,0.760999999999999
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2025,projected_current_policy_min,0.752
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2030,projected_current_policy_min,0.747
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2015,projected_current_policy_min,0.78
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2020,projected_current_policy_min,0.760999999999999
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2025,projected_current_policy_min,0.752
Forestry,Forest land area index,ha of forest (indexed to 1990),AR,2030,projected_current_policy_min,0.747
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,2020,projected_current_policy_min,657.39
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,2025,projected_current_policy_min,642.21
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,2020,projected_current_policy_min,657.39
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,AR,2025,projected_current_policy_min,642.21
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,2020,projected_current_policy_min,0.365
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,2025,projected_current_policy_min,0.374
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,2020,projected_current_policy_min,0.365
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,AR,2025,projected_current_policy_min,0.374
Waste,Waste generation (per capita),t waste / cap,AR,2015,projected_current_policy_min,0.36104772810191105
Waste,Waste generation (per capita),t waste / cap,AR,2020,projected_current_policy_min,0.371749927857247
Waste,Waste generation (per capita),t waste / cap,AR,2025,projected_current_policy_min,0.38127956244900896
Waste,Waste generation (per capita),t waste / cap,AR,2030,projected_current_policy_min,0.389700359139682
Waste,Waste generation (per capita),t waste / cap,AR,2015,projected_current_policy_min,0.36104772810191105
Waste,Waste generation (per capita),t waste / cap,AR,2020,projected_current_policy_min,0.371749927857247
Waste,Waste generation (per capita),t waste / cap,AR,2025,projected_current_policy_min,0.38127956244900896
Waste,Waste generation (per capita),t waste / cap,AR,2030,projected_current_policy_min,0.389700359139682
Macro,Emissions per capita,tCO2e / cap,AR,2015,projected_current_policy_min,7.945890546460579
Macro,Emissions per capita,tCO2e / cap,AR,2020,projected_current_policy_min,8.608379518405531
Macro,Emissions per capita,tCO2e / cap,AR,2025,projected_current_policy_min,9.22789711644631
Macro,Emissions per capita,tCO2e / cap,AR,2030,projected_current_policy_min,9.9286097071868
Macro,Emissions per capita,tCO2e / cap,AR,2015,projected_current_policy_min,7.945890546460579
Macro,Emissions per capita,tCO2e / cap,AR,2020,projected_current_policy_min,8.608379518405531
Macro,Emissions per capita,tCO2e / cap,AR,2025,projected_current_policy_min,9.22789711644631
Macro,Emissions per capita,tCO2e / cap,AR,2030,projected_current_policy_min,9.9286097071868
Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,2015,projected_current_policy_min,19.45315312397
Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,2020,projected_current_policy_min,20.170949276874897
Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,2015,projected_current_policy_min,19.45315312397
Macro,GDP per capita,thousand USD2012 (PPP) / cap,AR,2020,projected_current_policy_min,20.170949276874897
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,2015,projected_current_policy_min,0.408462859250807
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,2020,projected_current_policy_min,0.4267711648194289
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,2015,projected_current_policy_min,0.408462859250807
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AR,2020,projected_current_policy_min,0.4267711648194289
Industry Cement,Cement activity: production per capita,t product / cap,BR,2015,projected_current_policy_min,0.342799362040043
Industry Cement,Cement activity: production per capita,t product / cap,BR,2020,projected_current_policy_min,0.333337941421726
Industry Cement,Cement activity: production per capita,t product / cap,BR,2030,projected_current_policy_min,0.46356377571138396
Industry Cement,Cement activity: production per capita,t product / cap,BR,2050,projected_current_policy_min,0.549795574883439
Industry Cement,Cement activity: production per capita,t product / cap,BR,2015,projected_current_policy_min,0.347124107221156
Industry Cement,Cement activity: production per capita,t product / cap,BR,2020,projected_current_policy_min,0.338651414810355
Industry Cement,Cement activity: production per capita,t product / cap,BR,2030,projected_current_policy_min,0.474109590879205
Industry Cement,Cement activity: production per capita,t product / cap,BR,2050,projected_current_policy_min,0.579397338310548
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2015,projected_current_policy_min,532.350877192982
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2020,projected_current_policy_min,581.305555555556
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2030,projected_current_policy_min,465.11320754717
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2050,projected_current_policy_min,497.87786259542
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2015,projected_current_policy_min,532.350877192982
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2020,projected_current_policy_min,581.305555555556
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2030,projected_current_policy_min,465.11320754717
Industry Cement,Cement emissions intensity,kg CO2 / t product,BR,2050,projected_current_policy_min,497.87786259542
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2015,projected_current_policy_min,0.18763754553770798
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2020,projected_current_policy_min,0.19444713249600798
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2030,projected_current_policy_min,0.271141076359489
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2050,projected_current_policy_min,0.33994993561494996
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2015,projected_current_policy_min,0.190004774478948
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2020,projected_current_policy_min,0.197546658639374
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2030,projected_current_policy_min,0.27730938334444105
Industry Steel,Steel Activity: production per capita,t product / cap,BR,2050,projected_current_policy_min,0.358253316054614
Electricity,Electricity activity (per capita),kWh / cap,BR,2020,projected_current_policy_min,2815.0203965319606
Electricity,Electricity activity (per capita),kWh / cap,BR,2025,projected_current_policy_min,2839.8287044864
Electricity,Electricity activity (per capita),kWh / cap,BR,2030,projected_current_policy_min,2879.3126885089196
Electricity,Electricity activity (per capita),kWh / cap,BR,2050,projected_current_policy_min,3243.75192268443
Electricity,Electricity activity (per capita),kWh / cap,BR,2015,projected_current_policy_min,2085.5409115089396
Electricity,Electricity activity (per capita),kWh / cap,BR,2020,projected_current_policy_min,3244.5617928773804
Electricity,Electricity activity (per capita),kWh / cap,BR,2025,projected_current_policy_min,4341.97172819725
Electricity,Electricity activity (per capita),kWh / cap,BR,2030,projected_current_policy_min,4831.0961781961205
Electricity,Electricity emissions intensity,gCO2 / kWh,BR,2015,projected_current_policy_min,210.185363073806
Electricity,Electricity emissions intensity,gCO2 / kWh,BR,2020,projected_current_policy_min,109.05178704062
Electricity,Electricity emissions intensity,gCO2 / kWh,BR,2025,projected_current_policy_min,63.7710754279218
Electricity,Electricity emissions intensity,gCO2 / kWh,BR,2030,projected_current_policy_min,60.2787654101091
Electricity,Electricity emissions intensity,gCO2 / kWh,BR,2025,projected_current_policy_min,78.0146380097108
Electricity,Electricity emissions intensity,gCO2 / kWh,BR,2030,projected_current_policy_min,80.8028031889768
Electricity,Share of renewable electricity generation,% renewables,BR,2020,projected_current_policy_min,80.94175344880901
Electricity,Share of renewable electricity generation,% renewables,BR,2030,projected_current_policy_min,75.16680766654571
Electricity,Share of renewable electricity generation,% renewables,BR,2050,projected_current_policy_min,66.1021620152932
Electricity,Share of renewable electricity generation,% renewables,BR,2015,projected_current_policy_min,74.0165364327962
Electricity,Share of renewable electricity generation,% renewables,BR,2020,projected_current_policy_min,79.1767227979551
Electricity,Share of renewable electricity generation,% renewables,BR,2025,projected_current_policy_min,83.2862021947765
Electricity,Share of renewable electricity generation,% renewables,BR,2030,projected_current_policy_min,83.1225309719438
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2020,projected_current_policy_min,2.3435952380952405
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2025,projected_current_policy_min,2.35011428571429
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2030,projected_current_policy_min,2.3566333333333302
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2050,projected_current_policy_min,2.43284285714286
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2015,projected_current_policy_min,2.04871428571429
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2020,projected_current_policy_min,2.47170952380952
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2025,projected_current_policy_min,2.89470476190476
Electricity,Renewable energy generation (index),1990 value normalised to 1,BR,2030,projected_current_policy_min,3.2994776190476203
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2015,projected_current_policy_min,68.9732234808732
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2020,projected_current_policy_min,71.233948911931
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2025,projected_current_policy_min,73.4563155067259
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2030,projected_current_policy_min,73.3787831926608
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2050,projected_current_policy_min,73.57993418058041
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2015,projected_current_policy_min,68.9732234808732
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2020,projected_current_policy_min,71.233948911931
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2025,projected_current_policy_min,73.4563155067259
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2030,projected_current_policy_min,73.3787831926608
Transport Road,Modal split: share of private passenger transport,% private cars and motorcycles,BR,2050,projected_current_policy_min,73.57993418058041
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2015,projected_current_policy_min,0.11267611192967801
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2020,projected_current_policy_min,0.108674210406517
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2025,projected_current_policy_min,0.103287771848389
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2030,projected_current_policy_min,0.100426180438581
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2050,projected_current_policy_min,0.09751491167710001
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2015,projected_current_policy_min,0.11267611192967801
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2020,projected_current_policy_min,0.108674210406517
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2025,projected_current_policy_min,0.103287771848389
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2030,projected_current_policy_min,0.100426180438581
Transport Road,Road transport emissions intensity,kg CO2 / vkm,BR,2050,projected_current_policy_min,0.09751491167710001
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2015,projected_current_policy_min,18.6874748585924
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2020,projected_current_policy_min,20.3726823814404
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2025,projected_current_policy_min,20.5318466228141
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2030,projected_current_policy_min,20.6521586027185
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2050,projected_current_policy_min,20.782250088637603
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2015,projected_current_policy_min,18.6874748585924
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2020,projected_current_policy_min,20.3726823814404
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2025,projected_current_policy_min,20.5318466228141
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2030,projected_current_policy_min,20.6521586027185
Transport Road,Road transport biofuel/electrification share,% biofuels/elec.,BR,2050,projected_current_policy_min,20.782250088637603
Transport Road,EVs per capita,EVs / 1000 cap,BR,2015,projected_current_policy_min,0.0028867314698109996
Transport Road,EVs per capita,EVs / 1000 cap,BR,2020,projected_current_policy_min,0.029676336173794997
Transport Road,EVs per capita,EVs / 1000 cap,BR,2025,projected_current_policy_min,0.8583871879729491
Transport Road,EVs per capita,EVs / 1000 cap,BR,2030,projected_current_policy_min,8.71587363200749
Transport Road,EVs per capita,EVs / 1000 cap,BR,2050,projected_current_policy_min,49.5235708673633
Transport Road,EVs per capita,EVs / 1000 cap,BR,2015,projected_current_policy_min,0.057734629396218
Transport Road,EVs per capita,EVs / 1000 cap,BR,2020,projected_current_policy_min,0.10118843587347001
Transport Road,EVs per capita,EVs / 1000 cap,BR,2025,projected_current_policy_min,4.01478092508136
Transport Road,EVs per capita,EVs / 1000 cap,BR,2030,projected_current_policy_min,15.1248614933757
Transport Road,EVs per capita,EVs / 1000 cap,BR,2050,projected_current_policy_min,270.281183377813
Buildings,Buildings activity (residential),mÂ² / cap,BR,2015,projected_current_policy_min,20.9728395061728
Buildings,Buildings activity (residential),mÂ² / cap,BR,2020,projected_current_policy_min,23.7142857142856
Buildings,Buildings activity (residential),mÂ² / cap,BR,2025,projected_current_policy_min,25.4837209302326
Buildings,Buildings activity (residential),mÂ² / cap,BR,2030,projected_current_policy_min,27.1727272727273
Buildings,Buildings activity (residential),mÂ² / cap,BR,2050,projected_current_policy_min,30.2645739910313
Buildings,Buildings activity (residential),mÂ² / cap,BR,2015,projected_current_policy_min,20.9728395061728
Buildings,Buildings activity (residential),mÂ² / cap,BR,2020,projected_current_policy_min,23.7142857142856
Buildings,Buildings activity (residential),mÂ² / cap,BR,2025,projected_current_policy_min,25.4837209302326
Buildings,Buildings activity (residential),mÂ² / cap,BR,2030,projected_current_policy_min,27.1727272727273
Buildings,Buildings activity (residential),mÂ² / cap,BR,2050,projected_current_policy_min,30.2645739910313
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2015,projected_current_policy_min,2.02962962962962
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2020,projected_current_policy_min,2.06190476190476
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2025,projected_current_policy_min,2.11162790697674
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2030,projected_current_policy_min,2.15909090909091
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2050,projected_current_policy_min,2.6053811659192796
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2015,projected_current_policy_min,2.02962962962962
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2020,projected_current_policy_min,2.06190476190476
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2025,projected_current_policy_min,2.11162790697674
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2030,projected_current_policy_min,2.15909090909091
Buildings,Buildings activity (commercial),mÂ² / cap,BR,2050,projected_current_policy_min,2.6053811659192796
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,2025,projected_current_policy_min,0.10090758479305802
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,2030,projected_current_policy_min,0.088135168492765
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,2025,projected_current_policy_min,0.10090758479305802
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,BR,2030,projected_current_policy_min,0.088135168492765
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2015,projected_current_policy_min,0.903770160679457
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2020,projected_current_policy_min,0.9037701678165659
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2025,projected_current_policy_min,0.901810972367916
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2030,projected_current_policy_min,0.888868157885141
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2050,projected_current_policy_min,0.865202252061896
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2015,projected_current_policy_min,0.903770160679457
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2020,projected_current_policy_min,0.9037701678165659
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2025,projected_current_policy_min,0.901810972367916
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2030,projected_current_policy_min,0.888868157885141
Forestry,Forest land area index,ha of forest (indexed to 1990),BR,2050,projected_current_policy_min,0.865202252061896
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,2020,projected_current_policy_min,496.95
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,2025,projected_current_policy_min,505.21
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,2020,projected_current_policy_min,496.95
Agriculture,Agriculture activity (meat): consumption,meat kcal / cap / day,BR,2025,projected_current_policy_min,505.21
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2015,projected_current_policy_min,2990.0
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2020,projected_current_policy_min,2954.3333333333303
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2025,projected_current_policy_min,2918.66666666666
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2030,projected_current_policy_min,3090.0
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2050,projected_current_policy_min,3200.0
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2015,projected_current_policy_min,2990.0
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2020,projected_current_policy_min,2954.3333333333303
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2025,projected_current_policy_min,2918.66666666666
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2030,projected_current_policy_min,3090.0
Agriculture,Agriculture activity (total): consumption,kcal / cap / day,BR,2050,projected_current_policy_min,3200.0
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,2020,projected_current_policy_min,0.39299999999999996
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,2025,projected_current_policy_min,0.401
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,2020,projected_current_policy_min,0.39299999999999996
Agriculture,Agriculture activity (meat): production,meat kg / cap / day,BR,2025,projected_current_policy_min,0.401
Waste,Waste generation (per capita),t waste / cap,BR,2015,projected_current_policy_min,0.36791999999999997
Waste,Waste generation (per capita),t waste / cap,BR,2020,projected_current_policy_min,0.38909
Waste,Waste generation (per capita),t waste / cap,BR,2025,projected_current_policy_min,0.41938500000000006
Waste,Waste generation (per capita),t waste / cap,BR,2030,projected_current_policy_min,0.44822
Waste,Waste generation (per capita),t waste / cap,BR,2050,projected_current_policy_min,0.5478649999999989
Waste,Waste generation (per capita),t waste / cap,BR,2025,projected_current_policy_min,0.5278976371414961
Macro,Emissions per capita,tCO2e / cap,BR,2015,projected_current_policy_min,5.0802501740583
Macro,Emissions per capita,tCO2e / cap,BR,2020,projected_current_policy_min,4.86786542732647
Macro,Emissions per capita,tCO2e / cap,BR,2025,projected_current_policy_min,4.83272475279159
Macro,Emissions per capita,tCO2e / cap,BR,2030,projected_current_policy_min,4.88976847113093
Macro,Emissions per capita,tCO2e / cap,BR,2015,projected_current_policy_min,5.0802501740583
Macro,Emissions per capita,tCO2e / cap,BR,2020,projected_current_policy_min,4.873465098232661
Macro,Emissions per capita,tCO2e / cap,BR,2025,projected_current_policy_min,4.84040749561851
Macro,Emissions per capita,tCO2e / cap,BR,2030,projected_current_policy_min,4.90165442185234
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2015,projected_current_policy_min,60.0244280990437
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2020,projected_current_policy_min,57.8600498616152
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2025,projected_current_policy_min,60.2737956443183
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2030,projected_current_policy_min,64.084630721882
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2015,projected_current_policy_min,60.0244280990437
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2020,projected_current_policy_min,57.8600498616152
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2025,projected_current_policy_min,60.2737956443183
Macro,Primary energy demand per capita,GJ (primary) / cap,BR,2030,projected_current_policy_min,64.084630721882
Macro,Final energy demand per capita,GJ (final) / cap,BR,2015,projected_current_policy_min,45.699403266417505
Macro,Final energy demand per capita,GJ (final) / cap,BR,2020,projected_current_policy_min,46.3268070918795
Macro,Final energy demand per capita,GJ (final) / cap,BR,2025,projected_current_policy_min,48.6321279497771
Macro,Final energy demand per capita,GJ (final) / cap,BR,2030,projected_current_policy_min,51.450803522425204
Macro,Final energy demand per capita,GJ (final) / cap,BR,2015,projected_current_policy_min,45.699403266417505
Macro,Final energy demand per capita,GJ (final) / cap,BR,2020,projected_current_policy_min,46.3268070918795
Macro,Final energy demand per capita,GJ (final) / cap,BR,2025,projected_current_policy_min,48.6321279497771
Macro,Final energy demand per capita,GJ (final) / cap,BR,2030,projected_current_policy_min,51.450803522425204
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2015,projected_current_policy_min,14.800685220351
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2020,projected_current_policy_min,15.0377273786575
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2025,projected_current_policy_min,16.3210996544543
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2030,projected_current_policy_min,18.450063826344103
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2015,projected_current_policy_min,14.800685220351
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2020,projected_current_policy_min,15.0377273786575
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2025,projected_current_policy_min,16.3210996544543
Macro,GDP per capita,thousand USD2012 (PPP) / cap,BR,2030,projected_current_policy_min,18.450063826344103
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2015,projected_current_policy_min,0.34324425514252
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2020,projected_current_policy_min,0.323710179387558
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2025,projected_current_policy_min,0.296102888598726
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2030,projected_current_policy_min,0.26502718457532
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2015,projected_current_policy_min,0.34324425514252
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2020,projected_current_policy_min,0.324082554199603
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2025,projected_current_policy_min,0.29657361318160197
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),BR,2030,projected_current_policy_min,0.26567140731803196
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2015,projected_current_policy_min,4.05551683624146
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2020,projected_current_policy_min,3.8476591844412202
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2025,projected_current_policy_min,3.6929984449833597
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2030,projected_current_policy_min,3.47340970335172
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2015,projected_current_policy_min,4.05551683624146
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2020,projected_current_policy_min,3.8476591844412202
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2025,projected_current_policy_min,3.6929984449833597
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),BR,2030,projected_current_policy_min,3.47340970335172
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),BR,2015,projected_current_policy_min,3.0876545636941404
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),BR,2020,projected_current_policy_min,3.08070534365645
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),BR,2025,projected_current_policy_min,2.9797090257031
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),BR,2030,projected_current_policy_min,2.78865179040523
