Name,Type,Breed,Outcome Type,Days in Shelter
TOBY,DOG,LABRADOR RETR,RETURN TO OWNER,6
MONROE,DOG,CHINESE CRESTED/POODLE TOY,RETURN TO OWNER,2
,CAT,DOMESTIC SH,TRANSFER,1
LADY,DOG,PLOTT HOUND,ADOPTION,100
*SISSY,DOG,ALASKAN HUSKY,ADOPTION,16
,CAT,DOMESTIC SH,TRANSFER,1
*HUGHIE,DOG,AUST CATTLE DOG/MIX,TRANSFER,27
,CAT,DOMESTIC SH,TRANSFER,1
*TOOTSIE,CAT,DOMESTIC SH,ADOPTION,15
JEMMA,DOG,GREAT PYRENEES/MIX,ADOPTION,17
*CAPTAIN,DOG,CHIHUAHUA SH,ADOPTION,32
,CAT,DOMESTIC SH,EUTHANIZE,3
CHILI,DOG,CHIHUAHUA SH,TRANSFER,35
DOJA,DOG,LABRADOR RETR/SIBERIAN HUSKY,RETURN TO OWNER,0
,CAT,DOMESTIC SH,TRANSFER,1
STELLA,DOG,DALMATIAN/AMERICAN STAFF,TRANSFER,20
DASH,DOG,POINTER/MIX,ADOPTION,21
TRAVIESO,DOG,PIT BULL,RETURN TO OWNER,0
JAX,DOG,PIT BULL/MIX,ADOPTION,56
,DOG,GERM SHEPHERD/BELG MALINOIS,TRANSFER,8
SPINNER,DOG,TR WALKER HOUND/MIX,ADOPTION,65
BENTLEY,DOG,BOSTON TERRIER,RETURN TO OWNER,0
COLBY,DOG,YORKSHIRE TERR/PARSON RUSS TER,TRANSFER,28
,DOG,GERM SHEPHERD,EUTHANIZE,50
,CAT,DOMESTIC SH,TRANSFER,1
COCO,CAT,DOMESTIC SH,,0
,DOG,GOLDEN RETR/MIX,,0
AZUL,DOG,SIBERIAN HUSKY,ADOPTION,64
,CAT,DOMESTIC SH,,0
*SIRON,DOG,SIBERIAN HUSKY,ADOPTION,93
*LENNY,CAT,DOMESTIC LH,,0
,CAT,DOMESTIC SH,,0
ASHER,CAT,DOMESTIC SH,,0
NAYA,DOG,BELG MALINOIS,,0
,CAT,DOMESTIC SH,,0
,DOG,LABRADOR RETR/MIX,,0
GUS GUS,CAT,DOMESTIC SH,RETURN TO OWNER,3
,OTHER,CHICKEN,,0
,CAT,DOMESTIC SH,DISPOSAL,1
TUCK TUCK,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
,CAT,DOMESTIC SH,,0
STAR,DOG,AMERICAN STAFF,RETURN TO OWNER,4
*JAZMINE,DOG,GERM SHEPHERD,ADOPTION,13
,CAT,DOMESTIC MH,EUTHANIZE,0
,CAT,DOMESTIC SH,DISPOSAL,4
,CAT,DOMESTIC MH,EUTHANIZE,0
*HANNAH,CAT,DOMESTIC MH,ADOPTION,40
*BLANCA G.,DOG,CHIHUAHUA SH/MIX,ADOPTION,85
*BREE,CAT,DOMESTIC SH,ADOPTION,23
KAMILA,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
LUCKY,DOG,RAT TERRIER/MIX,ADOPTION,15
NICK,DOG,PARSON RUSS TER/MIX,ADOPTION,25
CALI,DOG,PIT BULL,RETURN TO OWNER,2
PEPPER,DOG,AUST CATTLE DOG/MIX,ADOPTION,19
*GINGER,DOG,PIT BULL,ADOPTION,30
OLIVE,DOG,GERM SHEPHERD,RETURN TO OWNER,0
EDEN,CAT,DOMESTIC SH,EUTHANIZE,10
*WYNONA,CAT,SIAMESE,ADOPTION,10
TARA,DOG,PIT BULL,RETURN TO OWNER,1
LANDO,CAT,DOMESTIC SH,ADOPTION,27
CHOPPER,DOG,PARSON RUSS TER/CHIHUAHUA SH,RETURN TO OWNER,0
EDEN,CAT,DOMESTIC SH,RETURN TO OWNER,4
NINER,DOG,PIT BULL/MIX,RETURN TO OWNER,9
WILLIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
JACK,DOG,SHIH TZU,RETURN TO OWNER,0
QUAKE,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,0
CHOPPER,DOG,PARSON RUSS TER/CHIHUAHUA SH,RETURN TO OWNER,0
BOOKER,DOG,BOXER,RETURN TO OWNER,0
CHARLIE,DOG,CATAHOULA,RETURN TO OWNER,9
*JONATHAN,DOG,CHIHUAHUA SH/MIX,ADOPTION,27
BOOTS,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
*AXEL,DOG,PIT BULL/LABRADOR RETR,ADOPTION,25
*KATRINA,CAT,DOMESTIC SH,ADOPTION,20
ASHLEY,DOG,CHIHUAHUA SH/PIT BULL,TRANSFER,22
KAI,DOG,PIT BULL/MIX,RETURN TO OWNER,2
ROCKY,DOG,AM PIT BULL TER,ADOPTION,48
LOUIE,DOG,PARSON RUSS TER/MIX,RETURN TO OWNER,0
CUJO,DOG,PIT BULL/MIX,EUTHANIZE,25
SPARKY,DOG,PATTERDALE TERR,RETURN TO OWNER,7
WILLIE,DOG,LABRADOR RETR,RETURN TO OWNER,0
SMOKEY,CAT,DOMESTIC SH,RETURN TO OWNER,4
*CORDUROY,DOG,SC WHEAT TERR/MIX,ADOPTION,22
*HAYMITCH,CAT,DOMESTIC SH,ADOPTION,40
LOLA,DOG,FRENCH BULLDOG,RETURN TO OWNER,3
MIDNIGHT,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
,OTHER,HORSE,RETURN TO OWNER,1
,CAT,DOMESTIC SH,,0
,CAT,ABYSSINIAN,RETURN TO OWNER,0
*BART,CAT,DOMESTIC SH,,0
*BOBBY,CAT,DOMESTIC SH,,0
LOCA,DOG,PIT BULL/MIX,RETURN TO OWNER,20
*NICK,CAT,DOMESTIC SH,,0
*NUTMEG,DOG,CHIHUAHUA SH,,0
,DOG,YORKSHIRE TERR/MIX,,0
*CAITLIN,CAT,DOMESTIC MH,ADOPTION,41
DIGGER,DOG,GERM SHEPHERD/AKITA,RETURN TO OWNER,6
SHORTY,DOG,BULL TERRIER,TRANSFER,20
BRODY,DOG,BOXER/AM PIT BULL TER,RETURN TO OWNER,0
,CAT,DOMESTIC SH,EUTHANIZE,0
*LITTLE,DOG,MASTIFF,,0
*KEVIN,CAT,DOMESTIC SH,,0
PELUSA,DOG,CHIHUAHUA LH/MIX,RETURN TO OWNER,1
*JOE,CAT,DOMESTIC SH,,0
,OTHER,MULE,RETURN TO OWNER,1
*TORI,CAT,DOMESTIC MH,ADOPTION,41
FLACO,DOG,CHIHUAHUA SH,RETURN TO OWNER,1
*MARK,CAT,DOMESTIC SH,,0
PATCHES,CAT,DOMESTIC SH,,0
PISTOL,CAT,DOMESTIC SH,DIED,0
,CAT,DOMESTIC SH,,0
TJ,CAT,DOMESTIC SH,TRANSFER,93
LOLA,DOG,GERM SHEPHERD/SIBERIAN HUSKY,RETURN TO OWNER,2
INDIE,CAT,DOMESTIC SH,ADOPTION,42
GINGER,DOG,ALASKAN HUSKY/GERM SHEPHERD,RETURN TO OWNER,0
MAX,DOG,GERM SHEPHERD,RETURN TO OWNER,0
BRUNO,DOG,BLOODHOUND/MIX,RETURN TO OWNER,0
,OTHER,BAT,EUTHANIZE,0
MAX,DOG,GERM SHEPHERD,RETURN TO OWNER,2
PEPPER,DOG,PIT BULL,ADOPTION,41
CHICO,DOG,LABRADOR RETR/MIX,ADOPTION,38
*JACK,CAT,DOMESTIC SH,TRANSFER,30
*TINY TIM,DOG,CHIHUAHUA SH,TRANSFER,36
*BINDI,DOG,PIT BULL/MIX,ADOPTION,17
VANILLA,DOG,BULL TERRIER/LABRADOR RETR,TRANSFER,28
QUINTERO,DOG,ROTTWEILER,RETURN TO OWNER,2
LIVY,DOG,PIT BULL,TRANSFER,37
RUBY,DOG,PARSON RUSS TER/MIX,TRANSFER,64
*LIZZIE,CAT,DOMESTIC MH,ADOPTION,41
,OTHER,BAT,EUTHANIZE,0
LOCA,DOG,PIT BULL/MIX,RETURN TO OWNER,7
DIGGER,DOG,GERM SHEPHERD/AKITA,RETURN TO OWNER,4
RUNT RUNT,CAT,DOMESTIC SH,TRANSFER,93
*TOMMY,OTHER,GUINEA PIG,ADOPTION,30
*DONNIE,CAT,DOMESTIC SH,,0
*PORSCHE,CAT,DOMESTIC SH,ADOPTION,24
*THANOS,DOG,CHIHUAHUA SH,,0
*JONI,CAT,DOMESTIC LH,ADOPTION,85
BOBO,DOG,POODLE TOY,RETURN TO OWNER,0
RILEY,DOG,GERM SHEPHERD,RETURN TO OWNER,1
*NELSON,CAT,DOMESTIC SH,,0
,OTHER,MULE,RETURN TO OWNER,1
KOKAINE,DOG,PIT BULL,RETURN TO OWNER,10
,CAT,DOMESTIC LH,,0
KARU,DOG,BELG MALINOIS,,0
KIKI,CAT,DOMESTIC SH,,0
,CAT,DOMESTIC LH,EUTHANIZE,18
MOSHE,DOG,GERM SHEPHERD,,0
OJAI,DOG,POODLE STND/GOLDEN RETR,RETURN TO OWNER,5
,CAT,DOMESTIC SH,EUTHANIZE,13
BELLA,DOG,LABRADOR RETR,RETURN TO OWNER,1
*TIPPY,DOG,GERM SHEPHERD,ADOPTION,24
ASH,CAT,DOMESTIC SH,ADOPTION,5
LILLY,DOG,CHIHUAHUA SH,ADOPTION,43
DANNY,DOG,BICHON FRISE,RETURN TO OWNER,0
LITTLE MAC,CAT,SIAMESE/MIX,ADOPTION,7
SIMONE,DOG,BORDER COLLIE,RETURN TO OWNER,1
HASHKY,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
COLT,DOG,GREAT PYRENEES,RETURN TO OWNER,0
SOPHIE,DOG,BOXER/MIX,ADOPTION,57
,CAT,DOMESTIC SH,,0
IGOR,DOG,PIT BULL,RETURN TO OWNER,3
*AARON,DOG,QUEENSLAND HEEL/MIX,ADOPTION,87
MAE,DOG,CHIHUAHUA SH,ADOPTION,49
BLUE,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,3
JAMIE,CAT,DOMESTIC SH,ADOPTION,14
WINK THE BLINK,DOG,CHIHUAHUA SH,ADOPTION,32
ITZY BITSY,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,2
CHOLO,DOG,BORDER COLLIE/MIX,RETURN TO OWNER,1
*ORCA,DOG,PIT BULL/MIX,ADOPTION,44
DAISEY,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
ROSIE,DOG,HARRIER/MIX,RETURN TO OWNER,2
KINGSLEY,DOG,ROTTWEILER/GERM SHEPHERD,TRANSFER,32
*TONY,DOG,PIT BULL/MIX,ADOPTION,18
KINGSLEY,DOG,ROTTWEILER/GERM SHEPHERD,TRANSFER,29
LUNA,DOG,PIT BULL/AUST CATTLE DOG,EUTHANIZE,31
EVIE,DOG,CHIHUAHUA SH/MIX,ADOPTION,31
*RICKY,DOG,FOX TERR SMOOTH,ADOPTION,24
DAISEY,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
*CLYDE,CAT,DOMESTIC SH,ADOPTION,39
,CAT,DOMESTIC SH,TRANSFER,0
*DANNY,CAT,DOMESTIC SH,ADOPTION,39
LOBO,DOG,ALASKAN HUSKY/PIT BULL,ADOPTION,25
VIOLET,DOG,AMERICAN STAFF,RETURN TO OWNER,1
ROCCO,DOG,PIT BULL,ADOPTION,70
SINCERE,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
SNOOP,DOG,AUST CATTLE DOG,RETURN TO OWNER,7
SINCERE,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,0
*TUI,CAT,DOMESTIC SH,ADOPTION,22
PHOEBE,DOG,PIT BULL,ADOPTION,59
SKIPPER,DOG,DACHSHUND/MIX,RETURN TO OWNER,13
LUNA,DOG,SIBERIAN HUSKY,RETURN TO OWNER,0
ABBY,DOG,PIT BULL/MIX,ADOPTION,16
,CAT,DOMESTIC SH,TRANSFER,0
ROCCO,DOG,PIT BULL,RETURN TO OWNER,3
NOVA,DOG,GERM SHEPHERD,EUTHANIZE,24
CARMA,DOG,PIT BULL,RETURN TO OWNER,17
LARRY,DOG,AUST KELPIE/MIX,RETURN TO OWNER,7
CICI,DOG,CHIHUAHUA SH/MIX,RETURN TO OWNER,1
RALO,DOG,SIBERIAN HUSKY/MIX,RETURN TO OWNER,1
,CAT,DOMESTIC SH,TRANSFER,68
JOON,DOG,SIBERIAN HUSKY/MIX,RETURN TO OWNER,7
,CAT,DOMESTIC LH,EUTHANIZE,0
BUTTERS,DOG,WELSH CORGI PEM/BORDER COLLIE,RETURN TO OWNER,2
,CAT,DOMESTIC SH,APPT,0
GARY,CAT,DOMESTIC SH,DISPOSAL,11
,OTHER,SHEEP,RETURN TO OWNER,0
TEDDY,DOG,CHIHUAHUA SH/MIX,APPT,18
ARIA,CAT,DOMESTIC SH,RETURN TO OWNER,0
BELLA,DOG,PIT BULL/LABRADOR RETR,APPT,2
DEXTER,DOG,LABRADOR RETR/PIT BULL,APPT,0
JETTA,CAT,DOMESTIC MH,APPT,0
TELA,CAT,DOMESTIC SH,APPT,5
,OTHER,RABBIT SH,,0
,OTHER,COCKATIEL,RETURN TO OWNER,6
,CAT,DOMESTIC MH,DISPOSAL,11
AVA GARDNER,CAT,SIAMESE,ADOPTION,5
*BERNARD,DOG,PIT BULL/MIX,TRANSFER,21
LUCY,CAT,DOMESTIC SH,RETURN TO OWNER,0
,OTHER,RABBIT SH,,0
,OTHER,RABBIT SH,,0
,CAT,DOMESTIC SH,APPT,0
,CAT,DOMESTIC SH,TRANSFER,0
PRISCILLA,DOG,ENG BULLDOG,RETURN TO OWNER,0
,OTHER,RABBIT SH,,0
COFFEE,DOG,GERM SHEPHERD,APPT,0
NEGRA,DOG,BORDER COLLIE,APPT,1
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,0
SPECIAL,DOG,PIT BULL,APPT,1
SPOT,CAT,DOMESTIC SH,APPT,35
,OTHER,RABBIT SH,,0
,OTHER,RABBIT SH,,0
,CAT,DOMESTIC SH,RETURN TO OWNER,15
RUBY,DOG,CHIHUAHUA LH/MIX,RETURN TO OWNER,11
RILEY,DOG,ROTTWEILER/MIX,RETURN TO OWNER,10
,CAT,DOMESTIC SH,TRANSFER,0
*GUMBI,DOG,DOBERMAN PINSCH/MIX,TRANSFER,75
,CAT,DOMESTIC SH,RETURN TO OWNER,21
,OTHER,RABBIT SH,,0
SCOOBY,DOG,CHIHUAHUA SH,EUTHANIZE,49
,CAT,DOMESTIC SH,TRANSFER,0
OSO,DOG,GERM SHEPHERD,TRANSFER,17
OKLEY,CAT,DOMESTIC SH,RETURN TO OWNER,0
,OTHER,COCKATIEL,RETURN TO OWNER,7
*EMELINE,DOG,CHIHUAHUA SH,TRANSFER,46
SIRUS,DOG,GERM SHEPHERD,RETURN TO OWNER,0
,CAT,DOMESTIC SH,RETURN TO OWNER,21
*ARTE,CAT,DOMESTIC SH,ADOPTION,12
ROBIN,DOG,CHIHUAHUA SH,RETURN TO OWNER,5
MEMPHIS,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,0
SOPHIE,DOG,POMERANIAN/MIX,RETURN TO OWNER,0
LINK,DOG,BORDER COLLIE,RETURN TO OWNER,0
HARVEST,DOG,SCHNAUZER MIN/MIX,RETURN TO OWNER,1
,CAT,DOMESTIC SH,APPT,16
KOBA,DOG,SIBERIAN HUSKY/POODLE MIN,ADOPTION,50
*PUFFLE,DOG,MALTESE,ADOPTION,37
BIGGIE,DOG,CHIHUAHUA SH,RETURN TO OWNER,11
BELLA,DOG,LABRADOR RETR/MIX,ADOPTION,8
CAMILO,DOG,GERM SHEPHERD/MIX,RETURN TO OWNER,8
NORA,DOG,ALASKAN MALAMUT,RETURN TO OWNER,0
,CAT,DOMESTIC SH,APPT,0
,CAT,DOMESTIC SH,TRANSFER,0
*NOVA,DOG,CHIHUAHUA SH,RTOS,11
CINA,DOG,PIT BULL,APPT,7
*WINTER,DOG,SIBERIAN HUSKY,ADOPTION,3
,CAT,DOMESTIC SH,RETURN TO OWNER,15
,CAT,DOMESTIC SH,RETURN TO OWNER,21
,CAT,DOMESTIC SH,APPT,16
,OTHER,RABBIT LH,,0
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,,0
MONKEY,DOG,AFFENPINSCHER,RETURN TO OWNER,0
DROGO,DOG,SIBERIAN HUSKY,APPT,6
POPPY,DOG,PUG,RETURN TO OWNER,0
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,0
ROXY,DOG,SCHNAUZER MIN/MIX,ADOPTION,10
,CAT,DOMESTIC SH,APPT,16
,OTHER,RABBIT SH,,0
SAGE,CAT,DOMESTIC MH,APPT,0
,CAT,DOMESTIC SH,TRANSFER,0
HUGO,DOG,PUG,APPT,0
TULA,CAT,DOMESTIC SH,APPT,5
*TACITO,DOG,CHIHUAHUA SH,RTOS,11
SASSY,CAT,DOMESTIC LH,APPT,0
,OTHER,CHICKEN,TRANSFER,14
GRAYSON,DOG,PIT BULL,RETURN TO OWNER,0
,CAT,DOMESTIC SH,TRANSFER,0
CHARLES,DOG,CHIHUAHUA SH,APPT,25
,OTHER,RABBIT SH,,0
,CAT,DOMESTIC SH,APPT,0
AMELIA,DOG,CHINESE SHARPEI/LABRADOR RETR,RETURN TO OWNER,1
LUNA,DOG,SIBERIAN HUSKY,RETURN TO OWNER,13
SAGE,CAT,DOMESTIC SH,APPT,11
BUDDY,DOG,PIT BULL/LABRADOR RETR,RETURN TO OWNER,0
HUNTER,DOG,SIBERIAN HUSKY,RETURN TO OWNER,0
,CAT,DOMESTIC LH,TRANSFER,0
,CAT,DOMESTIC SH,TRANSFER,0
*KNIGHT,DOG,PIT BULL/GERM SHEPHERD,,0
*CHUCKY,OTHER,GUINEA PIG,TRANSFER,38
BUDDY,DOG,PIT BULL/LABRADOR RETR,RETURN TO OWNER,4
,CAT,DOMESTIC SH,TRANSFER,0
,OTHER,GOAT,RETURN TO OWNER,14
*PUGSLEY,OTHER,GUINEA PIG,TRANSFER,38
CASPER,DOG,LABRADOR RETR,,0
,OTHER,RABBIT SH,,0
,OTHER,RABBIT SH,,0
*DANNY,DOG,GERM SHEPHERD/MIX,ADOPTION,54
,DOG,AFFENPINSCHER,APPT,14
,CAT,DOMESTIC SH,APPT,16
,CAT,DOMESTIC SH,APPT,16
SPIKE,DOG,BELG MALINOIS,RETURN TO OWNER,0
,CAT,DOMESTIC SH,APPT,20
,CAT,DOMESTIC SH,TRANSFER,0
,CAT,DOMESTIC SH,APPT,4
,CAT,DOMESTIC SH,APPT,20
,CAT,DOMESTIC SH,,0
,CAT,DOMESTIC LH,,0
MURRAY,DOG,POODLE TOY,ADOPTION,9
,DOG,CHIHUAHUA SH,RETURN TO OWNER,0
FLUFFY,DOG,TIBETAN TERR/POODLE MIN,ADOPTION,16
LUCY,DOG,LABRADOR RETR/MIX,RETURN TO OWNER,1
STAR,CAT,DOMESTIC SH,RETURN TO OWNER,1
NALA,DOG,GERM SHEPHERD,ADOPTION,35
*BIANCA,CAT,DOMESTIC SH,,0
*SARAI,CAT,DOMESTIC SH,,0
,OTHER,BAT,EUTHANIZE,0
*TACITO,DOG,CHIHUAHUA SH,,0
*BRUTUS,DOG,CAIRN TERRIER/MIX,ADOPTION,63
,CAT,DOMESTIC SH,TRANSFER,3
